x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.616,3.170626663172044e-51,1.461160036554459e-06,1.7773777341479442e-12,1.6540454445947158e-12,1.7412026430102383e-44
0.618,2.32232666909974e-50,2.2014354628854733e-06,3.3170613470449728e-12,3.141317397391725e-12,9.74481643597907e-44
0.62,1.671212358016341e-49,3.2887312198219674e-06,6.14002023333534e-12,5.913758935444957e-12,5.371454647849719e-43
0.622,1.1815989438926753e-48,4.87154930393484e-06,1.1272744951527531e-11,1.103577519921499e-11,2.91611115963487e-42
0.624,8.208025115260443e-48,7.1552439078019994e-06,2.0527413108370217e-11,2.0414066272150062e-11,1.5592298964978058e-41
0.626,5.601926236752939e-47,1.0420847280382655e-05,3.7075288775472735e-11,3.743205428455307e-11,8.211266630912203e-41
0.628,3.7563514788830054e-46,1.504893782583964e-05,6.641738792776113e-11,6.803702147124309e-11,4.258965134129088e-40
0.63,2.4747149675800484e-45,2.1549453904989665e-05,1.1801226793103023e-10,1.2258418351078664e-10,2.1756646266074613e-39
0.632,1.6018220762013466e-44,3.059835795116552e-05,2.0798013743472915e-10,2.1893295048238684e-10,1.0946461640837223e-38
0.634,1.0186699414669031e-43,4.3081988480682476e-05,3.6355252555546194e-10,3.8759253258870397e-10,5.424372662157771e-38
0.636,6.364771762985387e-43,6.014977986539906e-05,6.303247687069712e-10,6.80185380265118e-10,2.6473979957017817e-37
0.638,3.907169975029585e-42,8.327575860001624e-05,1.0839639137170518e-09,1.1832236781426042e-09,1.2725736297820399e-36
0.64,2.356524188362939e-41,0.00011432881974104774,1.8489275938190844e-09,2.0403004811203795e-09,6.024771484814252e-36
0.642,1.396405741192889e-40,0.00015565123321129772,3.128102969846775e-09,3.4874596823450766e-09,2.8092618662948196e-35
0.644,8.129830224892555e-40,0.00021014412114176188,5.249279628328885e-09,5.908974489017837e-09,1.2901430426098899e-34
0.646,4.650305169336463e-39,0.0002813577924425133,8.737303637791943e-09,9.924370612311186e-09,5.835492461914767e-34
0.648,2.6134341272604117e-38,0.00037358384539652587,1.4424998375433465e-08,1.6522732418685156e-08,2.5996278392599988e-33
0.65,1.4430181348548677e-37,0.0004919449009162256,2.362198364331275e-08,2.7267725537967825e-08,1.1406144732383447e-32
0.652,7.828204220264079e-37,0.0006424767797962865,3.8369035335353035e-08,4.460712539872466e-08,4.929020486008351e-32
0.654,4.1723682464536966e-36,0.0008321969825811049,6.181744553391994e-08,7.233491732391876e-08,2.0978596500430916e-31
0.656,2.1849084438131533e-35,0.001069152587702289,9.878902098249773e-08,1.1627339288228814e-07,8.79399703359973e-31
0.658,1.1241233820645305e-34,0.0013624402846294918,1.565941799653059e-07,1.8526846668756672e-07,3.630699421438934e-30
0.66,5.6823089972743116e-34,0.0017221913411656399,2.462145895808879e-07,2.926251901491525e-07,1.4763468210542278e-29
0.662,2.8220573701626582e-33,0.002159514995888154,3.8399465109736916e-07,4.581537249364867e-07,5.91262898442025e-29
0.664,1.3770095653910414e-32,0.0026863951700252272,5.940347584676136e-07,7.110503601062937e-07,2.332206620193527e-28
0.666,6.601432738213969e-32,0.003315537564420204,9.115405170949248e-07,1.0939047047114617e-06,9.060404900362588e-28
0.668,3.109349744970936e-31,0.004060167139146677,1.387457743341256e-06,1.6682035199946944e-06,3.466749037052311e-27
0.67,1.4389015291831495e-30,0.004933779577831453,2.0948143507503094e-06,2.5217932651041196e-06,1.3064459487957255e-26
0.672,6.54218317960085e-30,0.005949854436716667,3.1372976186079787e-06,3.778865210201044e-06,4.849028858451069e-26
0.674,2.9224322572040425e-29,0.007121541997404443,4.660717963287044e-06,5.613134588208671e-06,1.7726067857335734e-25
0.676,1.2826150527193757e-28,0.008461340024695117,6.86814540410967e-06,8.264991479915509e-06,6.38211173528589e-25
0.678,5.5306775492302235e-28,0.009980780255759599,1.0039647040383973e-05,1.2063495173240437e-05,2.263136771575957e-24
0.68,2.3430981012039238e-27,0.011690147062735022,1.4557694310376734e-05,1.7454150740086685e-05,7.90408587370361e-24
0.682,9.752876663974118e-27,0.013598251901027671,2.0939434829734235e-05,2.5033427314717884e-05,2.7188609935572975e-23
0.684,3.9884588800118045e-26,0.015712286510613613,2.9877117845179445e-05,3.559092862409157e-05,9.211215080099475e-23
0.686,1.602535402696004e-25,0.018037775130064906,4.228800251178412e-05,5.015998088413846e-05,3.073558423018112e-22
0.6880000000000001,6.326161474670716e-25,0.02057864113843271,5.9375037223476e-05,7.007713257000424e-05,1.0100915205560382e-21
0.6900000000000001,2.4535959172409507e-24,0.023337396696079597,8.269944490904826e-05,9.705063682521238e-05,3.2694504576016332e-21
0.6920000000000001,9.349662504446005e-24,0.026315455481978726,0.00011426604973837604,0.000133237386703361,1.0422782312356002e-20
0.6940000000000001,3.500410317663197e-23,0.029513559119402708,0.0001566217010322249,0.00018132698120514187,3.272559428833439e-20
0.6960000000000001,1.2875737171374907e-22,0.03293229813614595,0.00021296645949411692,0.0002446306156050573,1.0120139341044711e-19
0.6980000000000001,4.653239194127542e-22,0.0365726992434223,0.00028727628596433787,0.0003271713323354627,3.0823406696792425e-19
0.7000000000000001,1.6522234385889108e-21,0.0404368433076374,0.0003844348034317843,0.00043377088383729495,9.246345261255715e-19
0.7020000000000001,5.7638451803777285e-21,0.044528473538333654,0.0005103702975054161,0.0005701271216077748,2.731838652353758e-18
0.704,1.9755406111171446e-20,0.04885355185661368,0.0006721925121300323,0.000742874544135099,7.949423143613466e-18
0.706,6.6525744520083e-20,0.05342072359383564,0.0008783220492388562,0.0009596195504117392,2.278305671002022e-17
0.708,2.201018293748552e-19,0.05824165668697613,0.0011386033903361366,0.0012289412221851354,6.431086784175544e-17
0.71,7.154638374468949e-19,0.06333123105431933,0.0014643908570379628,0.0015603482810317088,1.787940115162569e-16
0.712,2.2849770885866732e-18,0.06870756609849243,0.0018685953819907954,0.0019641834214324068,4.895736397650679e-16
0.714,7.169785100205668e-18,0.07439188815849448,0.0023656789640066588,0.0024514676752162142,1.3203218417112965e-15
0.716,2.2103474891686382e-17,0.08040825379676582,0.0029715833403631035,0.0030336799396294997,3.507022949213311e-15
0.718,6.694915457894006e-17,0.08678315749092394,0.0037035799336466993,0.0037224703545640516,9.174760826037577e-15
0.72,1.9923230826177166e-16,0.0935450620513182,0.004580029708336252,0.004529310802092067,2.3640061365467304e-14
0.722,5.825115794114055e-16,0.10072389555485384,0.005620044347101714,0.0054650912642572125,5.999299606253749e-14
0.724,1.6733218649623234e-15,0.1083505587982952,0.006843044202200171,0.006539676823789908,1.499515810991817e-13
0.726,4.722636679024313e-15,0.11645648177801347,0.008268213772711747,0.007761446306948616,3.691480551803671e-13
0.728,1.3095428463706484e-14,0.12507325666593308,0.009913861868385696,0.009136839411838968,8.950549559472344e-13
0.73,3.5676727890756764e-14,0.1342323589979693,0.011796700882684788,0.010669944019119972,2.137464958221926e-12
0.732,9.54949589375995e-14,0.14396494976812074,0.013931067318347827,0.012362158590047424,5.027466209448621e-12
0.734,2.511342830100938e-13,0.15430173079104492,0.016328113376200583,0.014211965493836127,1.1646647057383401e-11
0.736,6.488759644972696e-13,0.16527280636577082,0.01899500642557744,0.01621484925015543,2.657388745970256e-11
0.738,1.6472044172118092e-12,0.17690748837487533,0.021934178861690763,0.018363388680658222,5.971901087254038e-11
0.74,4.10831216857166e-12,0.18923397179250181,0.025142674558819987,0.02064754374244028,1.321826561241466e-10
0.742,1.0067218632231727e-11,0.20227880507495583,0.028611639245468248,0.023055146574933873,2.881653948467625e-10
0.744,2.4237381110250967e-11,0.21606608637647406,0.03232600018152362,0.025572592567293346,6.187510015092246e-10
0.746,5.7331329104009776e-11,0.23061633247189942,0.036264375219678485,0.02818571190452618,1.3085735394588109e-09
0.748,1.3323810748067765e-10,0.24594499225174046,0.040399242637502185,0.030880786212097625,2.725775181174048e-09
0.75,3.0422508953265597e-10,0.26206060929263064,0.04469739126429463,0.033645659917650894,5.592336973740702e-09
0.752,6.824828255039617e-10,0.2789626759964273,0.049120655920730595,0.03647088318840216,1.1300819744260003e-08
0.754,1.5042449200793214e-09,0.2966392620708874,0.053626926838636076,0.039350814125140555,2.2492721592887536e-08
0.756,3.257433118158146e-09,0.3150645391032601,0.05817140456635572,0.04228460343163146,4.409525735649036e-08
0.758,6.930468423700705e-09,0.33419635683964316,0.06270805508994215,0.04527698581954212,8.514559910814111e-08
