x,multi-finetuned,multi-frozen,baseline,linear
0.42,0.14739104806080072,0.37606420979210997,0.41507464874968514,0.2079733336764717
0.422,0.14996064229110712,0.3874457358252735,0.4244359322423516,0.21893277640099873
0.424,0.15260171808216463,0.3990599924609439,0.43394302315784294,0.23042167842547212
0.426,0.15531772755580822,0.41090600149565104,0.4436118942152971,0.2424547350134905
0.428,0.15811226073569065,0.42298121565798014,0.45345849841181846,0.2550446439652721
0.43,0.16098903995353858,0.4352813838121031,0.46349847885217277,0.2682017825430733
0.432,0.16395191311615218,0.44780042852816837,0.4737468731124505,0.28193388615396864
0.434,0.16700484579091684,0.46053033825156686,0.484217816249765,0.29624573362380824
0.436,0.1701519120742191,0.4734610761842804,0.4949242466060436,0.31113884411764914
0.438,0.17339728421494233,0.4865805078381315,0.505877618530159,0.3266111909059987
0.44,0.1767452209741326,0.4998743490332846,0.5170876260611198,0.34265693723528523
0.442,0.18020005471185807,0.5133261358979241,0.528561941478463,0.3592661995289581
0.444,0.18376617720317653,0.526917218179214,0.5403059724380294,0.37642484301795254
0.446,0.1874480241968085,0.5406267769045936,0.5523226411759765,0.39411431467316344
0.448,0.1912500587424812,0.5544318671396525,0.5646121889859331,0.4123115179873721
0.45,0.19517675332578135,0.5683074862782552,0.5771720088584466,0.43098873373092567
0.452,0.19923257086255158,0.582226667976468,0.5899965088236413,0.4501135902879883
0.454,0.20342194461822063,0.5961606015087138,0.6030770081624199,0.46964908657391224
0.456,0.20774925713074935,0.610078775987127,0.6164016682539997,0.48955366984701093
0.458,0.2122188182289217,0.6239491485481429,0.6299554594131269,0.5097813699696949
0.46,0.21683484225030036,0.6377383352787419,0.6437201646440527,0.5302819908562291
0.462,0.22160142457510706,0.6514118233333568,0.6576744208049313,0.551001358980848
0.464,0.22652251760337686,0.6649342023858553,0.6717937972403364,0.5718816279256347
0.466,0.23160190631281352,0.678269413273828,0.6860509115051336,0.5928616370385601
0.468,0.23684318354363884,0.6913810114288326,0.7004155813740787,0.613877321365433
0.47000000000000003,0.24224972516426252,0.7042324424502993,0.7148550119117124,0.6348621691328425
0.47200000000000003,0.24782466527765248,0.7167873269759828,0.7293340159699411,0.6557477222099513
0.47400000000000003,0.2535708716327542,0.7290097518313242,0.7438152660891515,0.6764641141827372
0.47600000000000003,0.2594909214081062,0.740864564306647,0.7582595754059986,0.6969406399515009
0.47800000000000004,0.2655870775358713,0.7523176663167398,0.7726262048198319,0.717106350126652
0.48,0.2718612657338158,0.7633363051439325,0.7868731933430939,0.7368906629631627
0.482,0.2783150524103159,0.7738893574541793,0.8009577082615404,0.756223986152645
0.484,0.2849496236032747,0.7839476033065927,0.8148364114606959,0.7750383404939343
0.486,0.29176576510795227,0.793483986950133,0.8284658380383102,0.7932679772960268
0.488,0.29876384394120453,0.8024738613163067,0.8418027831214808,0.8108499813361217
0.49,0.30594379128060123,0.8108952132724241,0.8548046926445143,0.8277248513027506
0.492,0.3133050870064784,0.8187288668946437,0.8674300537221502,0.8438370498988905
0.494,0.3208467459632864,0.825958662251346,0.8796387801754176,0.859135516159098
0.496,0.3285673060438233,0.8325716074526761,0.891392588736584,0.8735741330418744
0.498,0.33646481818620266,0.8385580020181634,0.9026553614780775,0.8871121439847472
0.5,0.3445368383589329,0.8439115299375445,0.9133934900798597,0.8997145128435567
0.502,0.3527804215944291,0.8486293211463817,0.9235761976725734,0.9113522224655767
0.504,0.361192118115836,0.8527119805033924,0.9331758341709859,0.9220025080528881
0.506,0.36976797158640873,0.8561635837360873,0.942168141244757,0.9316490224407841
0.508,0.37850351949504374,0.8589916402105131,0.9505324833612904,0.9402819314277481
0.51,0.3873937956760753,0.8612070227746946,0.958252041677721,0.9478979383296733
0.512,0.3964333349463042,0.8628238653186588,0.9653139679542816,0.9545002379722776
0.514,0.4056161798275656,0.8638594290816707,0.9717094961067774,0.9600984013629229
0.516,0.4149358893091239,0.8643339391143381,0.9774340095080519,0.9647081932775557
0.518,0.42438554959093544,0.8642703926646782,0.982487062682385,0.9683513259426998
0.52,0.43395778673642565,0.8636943415980846,0.9868723566069981,0.9710551528698265
0.522,0.44364478115202854,0.8626336512769063,0.9905976674343109,0.9728523076952914
0.524,0.45343828380037327,0.8611182386115361,0.9936747290694762,0.9737802935806433
0.526,0.4633296340447504,0.859179792247589,0.9961190706711168,0.9738810293246408
0.528,0.47330977901438354,0.8568514780692492,0.9979498107795625,0.9732003588216565
0.53,0.48336929437311926,0.8541676333739636,0.9991894104057846,0.9717875308652805
0.532,0.49349840636840486,0.8511634532057466,0.9998633880249663,0.9696946565376533
0.534,0.5036870150328835,0.8478746724212628,1.0,0.966976151543442
0.536,0.5139247184075736,0.8443372471030168,0.9996298905011363,0.9636881708440886
0.538,0.5242008376533712,0.8405870389265657,0.9987857154773683,0.9598880428269478
0.54,0.5345044429165389,0.8366595060333644,0.9975017456625845,0.9556337100112472
0.542,0.5448243798138243,0.8325894038581154,0.9958134539550874,0.9509831829565862
0.544,0.5551492964038945,0.8284104992104779,0.9937570927840298,0.9459940136095766
0.546,0.5654676705137903,0.8241553007174253,0.9913692672630414,0.9407227938114892
0.548,0.5757678372921039,0.8198548084970234,0.9886865100237399,0.9352246841066734
0.55,0.5860380168644402,0.8155382856600063,0.985744863615582,0.9295529773511806
0.552,0.5962663419714714,0.8112330539260604,0.9825794762511089,0.9237587009371289
0.554,0.6064408854754108,0.8069643153015867,0.9792242164667099,0.9178902607347272
0.556,0.6165496876270321,0.8027550013997414,0.9757113119602815,0.9119931291242991
0.558,0.6265807829923365,0.7986256515971445,0.9720710174625926,0.9061095787585263
0.56,0.6365222269456303,0.7945943208205392,0.9683313160049055,0.9002784629732731
