age,tenth,ninetyeth,baseline
74.3,0.9595384473490634,0.9729220564400884,0.9665902597796415
74.4,0.9590968093944922,0.9726244117666284,0.966224231485902
74.5,0.9583833580944606,0.9721434796576989,0.9656328619216963
74.6,0.9574853411037116,0.9715379625036287,0.9648883975415063
74.7,0.9561235191132963,0.9706193462029197,0.9637591982776226
74.8,0.9559388598918422,0.9704947506500607,0.9636060600969575
74.9,0.9545440424028768,0.9695533612460614,0.9624491662742325
75.0,0.9532247924739741,0.9686625492515706,0.9613546741216709
75.1,0.9530325536055496,0.9685327071302052,0.9611951641671499
75.2,0.9518722230854451,0.9677488092174863,0.9602322602354583
75.3,0.9507850378349886,0.9670140360511092,0.9593298672933502
75.4,0.9490908630742734,0.9658684676486708,0.9579232919971377
75.5,0.9482805384705306,0.9653202993070337,0.9572503690212253
75.6,0.9467518869850416,0.9642857693296123,0.9559806436651377
75.7,0.9454165417918449,0.9633816028009331,0.9548711845469469
75.8,0.9441674309660915,0.9625354380681962,0.9538331209483902
75.9,0.9430135943422195,0.9617534797552337,0.9528740178778825
76.0,0.942800650474254,0.9616091320345224,0.9526969899130782
76.1,0.9423711589070148,0.9613179604026201,0.952339916418938
76.2,0.9423711589070148,0.9613179604026201,0.952339916418938
76.3,0.9414916768592927,0.9607215810907886,0.9516086368626275
76.4,0.9404945339983605,0.9600451895971249,0.9507793771361098
76.5,0.9395968962990122,0.9594360896709109,0.9500327361463863
76.6,0.9385731875594235,0.9587412048967838,0.9491810768738159
76.7,0.9363876266944606,0.9572568135674879,0.9473622805742373
76.8,0.9347600885016728,0.9561506657237666,0.9460073748555075
76.9,0.9332103427000044,0.9550967885931722,0.9447168415923569
77.0,0.9329674872091596,0.9549315858496895,0.9445145720120875
77.1,0.9319923118260982,0.9542680763281645,0.9437022735174675
77.2,0.9314993460407115,0.9539325737177605,0.9432915871109879
77.3,0.930010359585803,0.952918837693245,0.94205088866877
77.4,0.9295045942354455,0.9525743772597385,0.9416293794258567
77.5,0.9282247228192018,0.9517024172808406,0.9405625417487014
77.6,0.9273207420858558,0.9510863038224726,0.9398088708638965
77.7,0.9266654523376177,0.9506395612561248,0.9392624583178176
77.8,0.9241490943506312,0.9489230533110896,0.9371635591920402
77.9,0.9237409734488831,0.9486445101551557,0.9368230493222883
78.0,0.9237409734488831,0.9486445101551557,0.9368230493222883
78.1,0.9223558803253515,0.9476988740383034,0.9356672176281887
78.2,0.9212322669616942,0.9469314064805276,0.9347293593466603
78.3,0.9198099938045889,0.9459594934138145,0.9335419246491236
78.4,0.917071597249933,0.9440867842781139,0.9312547607717888
