x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.36,2.919480934013789e-11,0.02239719471101111,0.08366935549492317,1.0751877382837704e-13,0.0003767284510557021
0.362,4.2065895538031414e-11,0.02233153332168006,0.0841869497288478,1.5494083386609671e-13,0.0004234775463985393
0.364,6.041840664503656e-11,0.022279261525626853,0.08470633648953797,2.2271498023857179e-13,0.0004753986205750578
0.366,8.650137878686389e-11,0.02224205895989617,0.08522795981248069,3.1932647752901864e-13,0.0005329809360235641
0.368,1.2345009408366217e-10,0.022221606276518698,0.08575223585796955,4.566909416352957e-13,0.0005967498753987597
0.37,1.7562019449285916e-10,0.022219581230626444,0.08627955145518033,6.514961260575712e-13,0.0006672684403273879
0.372,2.490417248233426e-10,0.022237654884687656,0.08681026285156722,9.27050211919754e-13,0.0007451386779994518
0.374,3.52033838020775e-10,0.022277487943293265,0.0873446946762415,1.3158205493650941e-12,0.0008310030161862384
0.376,4.960338778736128e-10,0.02234072723144506,0.08788313912481724,1.8629108262518965e-12,0.0009255454859381718
0.378,6.967113733559683e-10,0.0224290023277446,0.08842585537197933,2.6308099274784764e-12,0.0010294928099480682
0.38,9.75459167911095e-10,0.022543922362273136,0.08897306921675592,3.705858986331212e-12,0.001143615333391444
0.382,1.3613817447896742e-09,0.02268707298730564,0.08952497296416428,5.20703298957734e-12,0.0012687277729993903
0.384,1.893936368999028e-09,0.022860013527327954,0.09008172554555807,7.297830976515113e-12,0.001405689759206715
0.386,2.6264278697401845e-09,0.023064274313144686,0.09064345287864004,1.0202328769708256e-11,0.0015554061454746112
0.388,3.6306150677632484e-09,0.023301354203188917,0.09121024846672732,1.4226788744707362e-11,0.001718827058339637
0.39,5.002758822367359e-09,0.023572718293490447,0.09178217423547377,1.9788665942438985e-11,0.001896947661416632
0.392,6.8715317980055475e-09,0.023879795816142423,0.09235926160387609,2.7455428801191466e-11,0.002090807606508754
0.394,9.408322326091842e-09,0.024223978224539457,0.09294151278502244,3.7996363867121816e-11,0.002301490145179516
0.396,1.2840603868815215e-08,0.024606617462159565,0.09352890231069637,5.2451504881923335e-11,0.0025301208746449345
0.398,1.7469213071544467e-08,0.025029024410240287,0.09412137877262972,7.222307775808125e-11,0.002777866092672512
0.4,2.369058957215683e-08,0.025492467508367787,0.0947188667719175,9.919645934870822e-11,0.0030459307373494372
